"id_no"|"order_"|"family"|"genus"|"binomial"|"endemic"|"v_range_sqkm"|"r_range_sqkm"|"aoh_92_sqkm"|"aoh_22_sqkm"|"aoh_perc_range"|"aoh_gain_loss_perc"|"ecosystems"|"category"|"threatened"|"habitats"
1897|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus latronum"|NULL|536546.0244390245|536545.9825551712|450447.68978827|453103.1819825234|84.44815481139723|0.005895228801154746|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,1.9,3.4,3.5,4.4,4.7}"
1898|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus mystacinus"|NULL|804428.8452439962|804429.0702352935|446622.3485542139|438825.65784503217|54.55119339691152|-0.017457009785607044|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,6}"
1899|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus peninsulae"|NULL|8903736.07181707|8903742.117547784|7433869.354950885|7356421.362960823|82.62168047817275|-0.010418261108998747|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,3.4,4.4,5.3}"
1900|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus ponticus"|NULL|347705.4111117447|347705.7999100183|234863.27191784693|232380.75280288223|66.8325788246901|-0.010570061017599478|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,3.4,4.4}"
1901|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus rusiges"|NULL|112775.9494412893|112775.9659694803|19436.74365538906|18860.879437806452|16.72420118565921|-0.02962760778207523|"{terrestrial}"|"LC"|NULL|"{1.4}"
1902|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus semotus"|True|33921.56394902353|33921.674861873056|20305.55542359118|19228.33273462803|56.68450279334556|-0.05305063892572089|"{terrestrial}"|"LC"|NULL|"{1.4,3.4,4.4}"
1903|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus speciosus"|True|368736.77859286394|368736.39608166605|321164.87995879125|307457.9294774204|83.38149766190317|-0.04267885854496167|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,14.2,14.3,14.6,15.7,15.8,4.4}"
1904|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus sylvaticus"|NULL|5002020.262670329|5002022.591336055|4393759.421625698|4355289.679736844|87.07057195784344|-0.008755541256881074|"{terrestrial}"|"LC"|NULL|"{13.3,1.4,14.1,14.2,14.3,14.4,14.5,3.4,3.8,4.4}"
1905|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus uralensis"|NULL|7231876.1360294195|7231877.736679385|5271114.465702018|5286469.594397221|73.09954325672236|0.0029130706219937805|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,14.2,4.4}"
1906|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus pallipes"|NULL|783221.3068377523|783223.8599673831|79027.97263564725|79545.74442896881|10.156195245671071|0.00655175346214068|"{terrestrial}"|"LC"|NULL|"{1.4}"
1907|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus alpicola"|NULL|110811.81942703504|110811.86813007659|53686.972569397316|48351.245031517836|43.63363405692312|-0.09938588977022994|"{terrestrial}"|"LC"|NULL|"{1.4}"
1910|"Rodentia"|"Muridae"|"Apomys"|"Apomys datae"|True|11592.217722825106|11592.21678732824|9918.498127008324|9781.248695364986|84.37772407825507|-0.013837723200209599|"{terrestrial}"|"LC"|NULL|"{14.1,14.3,14.6,1.9,3.7}"
1911|"Rodentia"|"Muridae"|"Apomys"|"Apomys hylocetes"|True|4399.014924247978|4399.015799512183|2660.7715717774313|2354.1106603352646|53.51448523090818|-0.11525262622875705|"{terrestrial}"|"LC"|NULL|"{1.9}"
1912|"Rodentia"|"Muridae"|"Apomys"|"Apomys insignis"|True|94958.40399815486|94958.56974791957|30865.499567513554|30312.09007139828|31.921384401498297|-0.017929711291559517|"{terrestrial}"|"LC"|NULL|"{1.6,1.9}"
1913|"Rodentia"|"Muridae"|"Apomys"|"Apomys littoralis"|True|7899.151844113845|7899.155296479603|2757.462990303245|2587.3660959637136|32.75497187802877|-0.061686011720804804|"{terrestrial}"|"DD"|NULL|"{1.6}"
1914|"Rodentia"|"Muridae"|"Apomys"|"Apomys microdon"|True|61958.161120320205|61958.441391771456|29493.567521324112|30912.30614929303|49.892000920149705|0.04810332378214862|"{terrestrial}"|"LC"|NULL|"{1.6,1.9}"
1915|"Rodentia"|"Muridae"|"Apomys"|"Apomys musculus"|True|47777.93816658835|47778.15195777528|20310.112031899534|21121.063543603912|44.20653097313181|0.03992846078006257|"{terrestrial}"|"LC"|NULL|"{1.6,1.9}"
